category,search_string,search_ranking,text
transportation,at BP#6897672MICHIGAN & MAS DEARBORN     MI,4,"Construction Worker Dies In Accident At BP Plant In Whiting Indiana ... Oct 2, 2019 ... WHITING, Ind. (CBS)– A worker died in an accident at the BP Whiting Refinery in 
Indiana Wednesday. According to the Whiting Fire ..."
prof dev,The Great Lakes Coffee,0,"MSU lands $1.8M USAID award to boost African Great Lakes' coffee ... Sep 30, 2015 ... The cooperative agreement launches USAID's African Great Lakes Region 
Coffee Support Program under Feed the Future, the U.S. ..."
prof dev,The Great Lakes Coffee,1,"April's Book Club Pick: 'The Death and Life of the Great Lakes,' by ... May 23, 2017 ... In the oceanic depths of the Great Lakes, life and death swirl like coffee and 
cream. Growing up on the western shores of Lake Michigan, I knew ..."
prof dev,The Great Lakes Coffee,2,"Your coffee choice could save a blackpoll warbler | Great Lakes Echo Apr 23, 2019 ... They'll soon be here in the Great Lakes basin, a crucial stop on a 12400 flight 
from Canada to the Amazon."
prof dev,The Great Lakes Coffee,3,"Coffee shops take major steps to minimize environmental impact ... Jul 10, 2019 ... By Ray Garcia. This story was reported by WKAR Radio in partnership with the 
Knight Center for Environmental Journalism. Great Lakes Echo"
prof dev,The Great Lakes Coffee,4,"Great Lakes Brewery to release 3 limited edition bottled beers in 2020 Dec 23, 2019 ... Great Lakes Brewery has released its 2020 limited edition beer lineup. ... Bierwolf 
Dunkelweizen (January) Made with cold brew coffee, ..."
dining,at SQ *TASTE OF ETHIOP      SOUTHFIELD   MI,0,"Adjusters International Client References » Adjusters International Delft Square; Delganey Depot Development - Denver, CO; Delia Risbrough & 
Neil ... Food King, Inc. The Forbes Company - Southfield, MI; Foreman Properties 
... OR; Humphrys-Textile Products; Hunan Taste Restaurant; Hung Leung 
Properties ... Coptic Orthodox Church; Saint Mary's Ethiopian Orthodox 
Tewahedo Church ..."
dining,at SQ *TASTE OF ETHIOP      SOUTHFIELD   MI,1,"rec.food.veg World Guide to Vegetarianism - USA2 - Google Groups Apr 22, 1993 ... Kousouris Organic Grocers, Belvedere Square in Towson, 345-8918 ... P.O. Box 
2614, Ann Arbor, MI 48106, (313) 426-2492. Detroit -------."
dining,at SQ *TASTE OF ETHIOP      SOUTHFIELD   MI,2,"TorrePlaces - Google My Maps The master map for mappeteer, for now..."
dining,at SQ *TASTE OF ETHIOP      SOUTHFIELD   MI,3,"top 10 nubuck leather men purse short style with coins ideas and get ... best top oversized square sunglasses flat top ideas and get free shipping · top 10 
camouflage men 2527s gloves near me and get free shipping · top 10 most ..."
prof dev,PSI SERVICES LLC USD,0,"Symphony, a messaging app that's been a hit with Wall Street ... Jun 12, 2019 ... For banks and others in the financial services industry, this is a notable ... that is 
what necessity dictated: with tens of billions of dollars at stake, ... global head of 
Principal Strategic Investments (PSI), Goldman Sachs, noted that ..."
prof dev,PSI SERVICES LLC USD,1,"Top 7 Semiconductor ETFs to Buy Now Jul 19, 2019 ... The Dynamic Semiconductor Intellidex Index, PSI's underlying benchmark, 
evaluates “companies based on a variety of investment merit criteria ..."
prof dev,PSI SERVICES LLC USD,2,"HVAC Buddy® – Google Play'деги колдонмолор Make your job easier with our handy refrigerant charging and diagnostic HVAC 
app - HVAC Buddy®. If you are servicing equipment the best way to begin ..."
prof dev,PSI SERVICES LLC USD,3,"HVAC Buddy® Press Temp – Apper på Google Play Refrigerant Pressure Temperature Charts • 75 Refrigerants • Pressure Units psig/
inHg, kPag, kPa, psig, psia, atm, inHg, MPa, barg, bara • Temp Units °F, °C, ..."
prof dev,PSI SERVICES LLC USD,4,"HVAC Buddy® – Leikir á Google Play Make your job easier with our handy refrigerant charging and diagnostic HVAC 
app - HVAC Buddy®. If you are servicing equipment the best way to begin ..."
dining,at TST* IMA 1               DETROIT      MI,0,"AT&T Smart Wi-Fi - Apps on Google Play AT&T Smart Wi-Fi connection manager is a free app that finds and auto-connects 
to available hotspots, logs missed hotspot opportunities for your review and ..."
dining,at TST* IMA 1               DETROIT      MI,1,"Snøhetta to renovate historic Detroit station for Ford innovation centre Jun 20, 2018 ... Snøhetta plans to transform Detroit's Michigan Central Station into a research 
hub for car company Ford, where it could develop self-driving ..."
dining,at TST* IMA 1               DETROIT      MI,2,"Troy's Continental Acquires Canton Township's Sterling Services ... Mar 18, 2019 ... Michigan's largest food management company, Continental Services of Troy, has 
acquired Canton Township's Sterling Services."
dining,at TST* IMA 1               DETROIT      MI,3,"Google Dashboard Sign in to see and manage the data in your Google Account. Sign in. Privacy 
Policy·Terms of Service·Help. Your browser does not support JavaScript or ..."
dining,at TST* IMA 1               DETROIT      MI,4,"top 10 largest pneumatic liquid filling machin ideas and get free ... ... (1) Detroit Diesel Corporation (2) Devek (1) Devekmatic (1) DeVlieg Machine ... 
MI Kwang Machinery Co Ltd (1) Mi Omega Engenharia Ltda (1) Miag (1) Mica (1) 
... Saronno Srl (1) Test Research Inc. (1) Testo (1) Tetisan Endustriyel Klima (1) ... 
Pack IMA (1) Winkworth (3) Winn Valves (1) Winpak (2) WISD (1) Wit-O-Matic ..."
dining,at SQ *BABO DETROIT         DETROIT      MI,0,"Young Professionals Flocking To Detroit - Business Insider Jul 8, 2013 ... NOTE: Detroit has now filed for bankruptcy, which we felt made this ... the couple, 
who work in real estate, just closed on the 4,000 sq. ft. home."
dining,at SQ *BABO DETROIT         DETROIT      MI,1,"In Detroit, Urban Farmers Wonder If They'll Be Displaced by ... Aug 30, 2016 ... Alyssa Trimmer and Matt Steiner grow vegetables on lots in Detroit's Virginia 
Park neighborhood. ... DETROIT, Mich. ... Hantz Woodlands project, which saw 
2,000 parcels sold to a financier in 2012 for $0.08 per square foot."
dining,at SQ *BABO DETROIT         DETROIT      MI,2,"Former Detroit City Council president pleads guilty to sex crimes ... Oct 26, 2016 ... Detroit City Council president Charles Pugh listens to a council member speak 
during a City Council meeting in Detroit, Michigan January 20, ..."
dining,at SQ *BABO DETROIT         DETROIT      MI,3,"Reclaiming Detroit: Decolonizing Archaeology in the Postindustrial ... Jul 5, 2016 ... Detroit moves quickly; issues of scale and pace in a city of this size pose ... 
Detroit is a city of 139 sq miles – within its boundaries, the cities of ..."
dining,at SQ *BABO DETROIT         DETROIT      MI,4,"A Visit to America's Real First Theme Park - The Henry Ford and ... Dec 3, 2014 ... ... at his berry farm in 1940, this historic theme park in a suburb of Detroit had ... 
This is Greenfield Village and the Henry Ford Museum in Dearborn, Michigan. ... 
Covering 49,000 square meters, or about twelve acres, this structure is ... and in 
some cases the world, bringing them to Dearborn, Michigan and ..."
recurring,at COMCAST                  800-934-6489 MI,0,"Delete Accounts: Links and Phone Numbers to 65 Services | Time May 6, 2014 ... Comcast. Cancel or Make Changes to Your XFINITY Service (call 1-800-934-
6489). DirecTV. How do I disconnect my DIRECTV services?"
recurring,at COMCAST                  800-934-6489 MI,1,"Grand Rapids Community Resources (Orientation) For Western Michigan University. Thomas M. Cooley Law ... 790 Fuller Ave NE, 
Grand Rapids, MI 49503. ... 800-934-6489. www.comcast.com. Consumers ..."
recurring,at COMCAST                  800-934-6489 MI,2,"Kalamazoo Community Resources (Orientation) For Western Michigan University. Thomas ... https://www.anytimefitness.com/
gyms/1637/kalamazoo-mi-49009/. West Hills ... 800-934-6489. www.comcast.
com."
recurring,at COMCAST                  800-934-6489 MI,3,"How to Opt Out of Comcast Using your Router as a Public WiFi Hotspot Jan 20, 2020 ... Comcast Xfinity WiFi is using your leased modem (that you pay a ... If you run into 
issues, call Comcast customer service at 1-800-934-6489."
recurring,at COMCAST                  800-934-6489 MI,4,"Xfinity TV vs DirecTV Dec 11, 2017 ... ... California, Florida, Illinois, Pennsylvania and Michigan, Nationwide ... Use this 
line to speak with a human in less than 60 seconds: (800) 934-6489 ... Xfinity 
offers cable Internet services (Comcast is actually the biggest ..."
dining,at SQ *STREET BEET          DETROIT      MI,0,"In Detroit, Urban Farmers Wonder If They'll Be Displaced by ... Aug 30, 2016 ... Alyssa Trimmer and Matt Steiner grow vegetables on lots in Detroit's Virginia 
Park neighborhood. ... DETROIT, Mich.—On a sunny summer afternoon, an ice 
cream truck sits parked near Woodrow Wilson and West Euclid Street in Detroit, 
... 2,000 parcels sold to a financier in 2012 for $0.08 per square foot."
dining,at SQ *STREET BEET          DETROIT      MI,1,"A tour of Detroit's enormous Masonic Temple | Culture | Detroit ... Oct 22, 2014 ... It looms above Temple Street in a not-so-great part of town, and attached... ... It's 
nearly 90 years old and a remarkable 550,000 square feet. ... Michigan's first 
Masonic Grand Master, starting buying up property in Cass Farms. ... The Bloom 
and the Bern: two theories of how to beat Donald Trump Read More ..."
dining,at SQ *STREET BEET          DETROIT      MI,2,"Escape room expands in downtown Port Huron with scavenger ... Aug 3, 2018 ... St. Clair County's first and only escape room is undergoing a major ... leaving its 
original 1,000 sq. ft. leased space for the 3,500 sq. ft. old ..."
dining,at SQ *STREET BEET          DETROIT      MI,3,"Factbox: How each candidate performed in the second Democratic ... Jul 31, 2019 ... Here is a look at how each of the 20 candidates did on the Detroit debate. ... his 
Democratic rivals to do the same if they want to beat Trump in 2020. ... down their 
street with a bag of M&Ms in his pocket, wearing a hoodie, his ... of Flint, Michigan
, an hour north of Detroit where the debate was taking place, ..."
dining,at SQ *STREET BEET          DETROIT      MI,4,"Newport, Kentucky - Wikipedia Newport is a home rule-class city at the confluence of the Ohio and Licking rivers 
in Campbell ... A garage at 938 John Street manufacturing illegal fireworks 
exploded without ... According to the United States Census Bureau, the city has a 
total area of 3.0 square miles (7.8 km2), of which 2.7 square miles (7.0 km2) is 
land ..."
fun,at THE VINERY               DEARBORN HEIGMI,0,"Honoring Our Million Dollar Selling Lottery Retailers in Pontiac Hani Attisha, Vera Watkins and Demetrius Moncrief. The Vinery in 
Dearborn Heights Lottery DSR Amanda Smith and store manager Shawn 
Hannosh."
recurring,at TMOBILE*AUTO PAY         800-937-8997 WA,0,"New T-Mobile CEO faces big problems, but he could shake up the ... Sep 19, 2012 ... T-Mobile USA's new CEO John Legere has a tough job ahead of him given T-
Mobile's ... the hidden device “mortgage” payments we make on our monthly bills. 
... by Anna id#37104. my concern is that my bill is due on Saturday and if this isnt 
... You may speak to a supervisor by calling 1-800-937-8997."
recurring,at TMOBILE*AUTO PAY         800-937-8997 WA,1,"T-Mobile DIGITS - Apps on Google Play Use all your numbers on one device! Need different numbers for different parts of 
your life? T-Mobile customers can use the DIGITS app to access multiple ..."
recurring,at TMOBILE*AUTO PAY         800-937-8997 WA,2,"Google Groups Google Groups allows you to create and participate in online forums and email-
based groups with a rich experience for community conversations."
recurring,at TMOBILE*AUTO PAY         800-937-8997 WA,3,"List of wireless and fixed phone operators in the ... - Google Answers Dec 19, 2002 ... http://www.t-mobile.com/company/about/technology.asp ... With the announced 
mergers with Roberts Wireless (""Roberts"") and Washington Oregon Wireless ... 
The dual-band Sprint PCS Phone allows customers to automatically roam in ... 
WA 98006 Telephone: 1-800-937-8997 http://www.voicestream.com/ ..."
recurring,at TMOBILE*AUTO PAY         800-937-8997 WA,4,"top 8 most popular jump mobile jump kit brands and get free shipping 0_ The tool is a mobile app called Aira that allows operators in remote locations 
to use the camera in the smartphones of visually . “It wasn't something that we ..."
dining,O-SUSHI II,0,"Eatery - Sushi ii (HI) | Much Ado About Fooding A friend had told us about Sushi ii and how amazingly fresh and true to form it ... 
A wrapping bar gives you good view of the chefs doing their work but you can ..."
dining,O-SUSHI II,1,"2019 Hale 'Aina Award Winners: The Best Restaurants in Hawai'i ... Jun 9, 2019 ... This list of Hale 'Aina-winning restaurants is your all-year, can't-miss ... GOLD – 
Sansei Seafood Restaurant & Sushi Bar. SILVER – Sushi ii."
dining,O-SUSHI II,2,"5 big questions behind American sushi | National Museum of ... May 1, 2015 ... Where can you find the sushi capital of Japanese America? ... to imprisonment 
camps during World War II (1942-1946), their vacant apartments ..."
dining,O-SUSHI II,3,"Where's the Map? James O'Brien. Local Guide · Level 7. 0 points1 ... Great selection of beers and 
desserts. Reliably great service too. ... Kyoto Sushi II. 347 Chestnut St, Union, ..."
dining,O-SUSHI II,4,"EP1934353A2 - Il-15ralpha sushi domain as a selective and potent ... The present invention relates to the stimulation of the IL-15Rbeta/gamma ... or to 
an lL-15Ralpha fragment which has retained the sushi domain of IL-15Ralpha."
fun,at PUNCH BOWL SOCIAL DETROITDETROIT      MI,0,"Punch Bowl Social Detroit, 1331 Broadway St, Detroit, MI - Google ... Punch Bowl Social Detroit, 1331 Broadway St, Detroit, MI. Connect to internet to 
see place info. Directions. Show map. Directions. Google Maps. Traffic Transit"
fun,at PUNCH BOWL SOCIAL DETROITDETROIT      MI,1,"Austin Jackson 1200 State Cir, Ann Arbor, MI 48108, United States -. 4 months ago ... Punch 
Bowl Social Detroit ... 1150 S Canton Center Rd, Canton, MI 48188, United 
States -."
fun,at PUNCH BOWL SOCIAL DETROITDETROIT      MI,2,"Rita Morris Delete. Local Guide. Punch Bowl Social Detroit. 1331 Broadway St, Detroit, MI 
48226, United States -. a month ago. Food was okay, service was poor. reviewers
."
fun,at PUNCH BOWL SOCIAL DETROITDETROIT      MI,3,"Arber Velencia Imperial. 22828 Woodward Ave, Ferndale, MI 48220, USA - ... Local Guide. 
Punch Bowl Social Detroit ... 26517 Ford Rd, Dearborn Heights, MI 48127, USA -."
fun,at PUNCH BOWL SOCIAL DETROITDETROIT      MI,4,"Where's the Map? Punch Bowl Social Detroit. 1331 Broadway St, Detroit, MI 48226, USA -. a year 
ago. Me and a group went for New Year's. Cover was $10 which wasn't a bad ..."
dining,at JOHNNY NOODLE KING       DETROIT      MI,0,"Where's the Map? 4454 Woodward Ave, Detroit, MI 48201, United States. Albena ... 12195 Joseph 
Campau Ave, Hamtramck, MI 48212, United States ... Johnny Noodle King."
dining,at JOHNNY NOODLE KING       DETROIT      MI,1,"Jennifer Kim 438 Moreland Ave NE, Atlanta, GA 30307, USA. Johnny Noodle King. 2601 W 
Fort St, Detroit, MI 48216, USA. Luxury Nails & Spa. 18900 Michigan Ave ..."
dining,at JOHNNY NOODLE KING       DETROIT      MI,2,"It's never been easier to eat vegan in Detroit May 16, 2016 ... PETA recently named Detroit one of the top vegan-friendly cities in the U.S. While 
the ... Grab a vegan Bahn-Mi dog after a late night or come for weekend brunch 
and ... My first trip to Johnny Noodle King was long overdue."
dining,at JOHNNY NOODLE KING       DETROIT      MI,3,"Moana Sato 135 Riley St, Dundee, MI 48131, USA. Jalapeno bacon cheddar bread. Johnny 
Noodle King. 2601 W Fort St, Detroit, MI 48216, USA. Karaage chicken. Tonkotsu
 ..."
dining,at JOHNNY NOODLE KING       DETROIT      MI,4,"Where's the Map? Sicily's Pizzeria & Subs. 3554 W Vernor Hwy, Detroit, MI 48216, USA ... Johnny 
Noodle King. 2601 W Fort St, Detroit, MI 48216, USA. Schafer's House of Music."
fun,at RAVE 1097                YPSILANTI    MI,0,"Cinemark's Summer Movie Clubhouse | Ann Arbor with Kids May 1, 2019 ... Rave Cinemas in Ypsilanti is participating in the 2016 Cinemark Summer Movie 
Clubhouse. ... at Rave Motion Pictures, Ypsilanti Michigan."
fun,at RAVE 1097                YPSILANTI    MI,1,"beezy's cafe: Long may Bee Roll Jan 11, 2012 ... beezy's cafe in Ypsilanti is known for its breakfast and lunch fare. ... Bee Roll, 34, 
Canada-born and Michigan-made, is among this small ..."
fun,at RAVE 1097                YPSILANTI    MI,2,"Lebanese diner Al Tayeb one of Michigan's best breakfast restaurants Dec 4, 2019 ... Al Tayeb in Garden City does breakfast the Lebanese way. And it's about as 
good as breakfast gets."
fun,at RAVE 1097                YPSILANTI    MI,3,"District discredits records showing new Ypsilanti athletic director ... May 29, 2013 ... Ypsilanti Community Schools is discrediting a 2011 performance evaluation ... in 
high school sports in Michigan as a coach and an administrator. ... to be 
suspicious of a prior employer of a coach giving rave reviews after a 0 ..."
fun,at RAVE 1097                YPSILANTI    MI,4,"A2CT earns multiple top awards at Michigan's American Association ... Feb 27, 2013 ... An excerpt from Ann Arbor Civic Theatre's 2012 production of ""Leaving Iowa"" - by 
Tim Clue and Spike Manton - earned rave reviews at ..."
recurring,TMOBILE AUTO PAY,0,"T-Mobile offering 3% cashback with Apple Card - 9to5Mac Sep 19, 2019 ... And this is just the beginning, as T-Mobile will bring Apple Pay to the T-Mobile 
app and ... FTC: We use income earning auto affiliate links. More ..."
recurring,TMOBILE AUTO PAY,1,"Which Cellular Providers Allow Credit Card Payment With Auto-Pay ... Jan 24, 2020 ... Verizon postpaid only offers the auto-pay discount when it's set up with ... T-
mobile allows credit card in conjunction with the auto-pay discount."
recurring,TMOBILE AUTO PAY,2,"Unlimited High-Speed In-Home Internet Services from T-Mobile Learn more about how you can get fast, unlimited in-home Internet service from T
-Mobile. With the LTE WiFi gateway, your wireless T-Mobile experience just got ..."
recurring,TMOBILE AUTO PAY,3,"Apple Card 3% Merchants: Latest Additions — Nike, T-Mobile ... Nov 26, 2019 ... The Apple Card has expanded its list of merchants where you can earn 3% cash 
back when you use Apple Pay — now including T-Mobile and ..."
recurring,TMOBILE AUTO PAY,4,"T-Mobile brings back unlimited data for all - CNET Aug 18, 2016 ... T-Mobile is eliminating data plans for new customers -- and for current ones who 
opt in. ... The price is $5 more a month without auto-pay."
prof dev,at SQ *BLACK BOX GALLERY    Dearborn     MI,0,"Map Find a place. Your location. Trails. Dedicated lanes. Bicycle-friendly roads. Dirt/
unpaved trails. Live traffic. Fast. Slow. 10 m. Set depart & arrive time."
prof dev,at SQ *BLACK BOX GALLERY    Dearborn     MI,1,"Calendar of Events for NY Area Families | NYMetro Parents Prepare and taste some of renowned African American chef Edna Lewis's 
signature ... Box Turtle at Long Pond—Storytime & Meet the Box Turtles. Feb. ... 
challenges and an Interactive Gallery of STEAM projects completed by Ma. ... 01, 
2020, 2-3pm; Brooklyn Central Library; 10 Grand Army Plaza, Prospect Heights; 
Young ..."
prof dev,at SQ *BLACK BOX GALLERY    Dearborn     MI,2,Garmin - Google My Maps POI's from my Garmin.
prof dev,at SQ *BLACK BOX GALLERY    Dearborn     MI,3,"Downriver Gymnastics prepares to celebrate 25 years | Downriver ... Aug 25, 2019 ... From city recreation centers to her own 56000 square-foot ... Medals and trophies 
will get dusty, and put in a box, but the lessons they learn will ..."
prof dev,at SQ *BLACK BOX GALLERY    Dearborn     MI,4,"Detroit area independent retailers to shop local for the holidays | Gift ... Nov 27, 2019 ... Well, this year we're saying “Jeff Bez-no thanks” to big box bullshit and ... Steven 
Bernard Jewelers 22266 Michigan Ave., Dearborn; 313-562-8484; 
stevenbernardjewelers.com ... Black Stone Bookstore and Cultural Center 214 W. 
Michigan Ave., ... Abundant Living Gallery & Gifts 3002 First St., Wyandotte; ..."
dining,at LA FORK                  DEARBORN     MI,0,"Rohan Arora 27310 Ford Rd, Dearborn Heights, MI 48127, United States -. 3 weeks ago ... La 
Fork. 1041 Howard St, Dearborn, MI 48124, United States -. 2 months ago."
dining,at LA FORK                  DEARBORN     MI,1,"Faizaan Datoo La Fork. 1041 Howard St, Dearborn, MI 48124, United States -. a year ago. Great 
food and amazing service. They handled our allergen needs very well, taking ..."
dining,at LA FORK                  DEARBORN     MI,2,"David Ganem Taystee's Burgers. 10419 Ford Rd, Dearborn, MI 48126, USA - ... La Fork. 1041 
Howard St, Dearborn, MI 48124, USA -. 2 years ago. GREAT food ..."
dining,at LA FORK                  DEARBORN     MI,3,"Map Find a place. Your location. Trails. Dedicated lanes. Bicycle-friendly roads. Dirt/
unpaved trails. Live traffic. Fast. Slow. 10 m. Set depart & arrive time."
dining,at LA FORK                  DEARBORN     MI,4,Garmin - Google My Maps POI's from my Garmin.
transportation,BP#6897672MICHIGAN   MAS,0,"Oil giant BP pulls out of 3 trade groups over climate policies but ... 1 day ago ... BP PLC is cutting ties with three trade groups over climate policies, a move 
announced Wednesday that follows the energy giant's vow earlier ..."
transportation,BP#6897672MICHIGAN   MAS,1,"BP Goes After Methane with a Stringent, Quantitative Target ... Apr 16, 2018 ... (WASHINGTON, DC) Global oil and gas giant BP today announced its first 
quantitative methane target as part of several climate initiatives ..."
transportation,BP#6897672MICHIGAN   MAS,2,"BP Withdraws From Three Fossil Fuel Industry Trade Groups ... 21 hours ago ... February 27th, 2020 by Steve Hanley. BP, which may have done more damage 
to the Earth's environment than any corporation in history, with ..."
transportation,BP#6897672MICHIGAN   MAS,3,"BP and Environmental Defense Fund Collaborate to Reduce ... Mar 13, 2019 ... BP and EDF collaborate to develop technologies and management practices to 
accelerate reductions of methane emissions across the global ..."
transportation,BP#6897672MICHIGAN   MAS,4,"BP Quits Oil Lobby Groups Over Climate Policy Differences ... 1 day ago ... BP will leave three U.S. energy trade associations, including the main refining 
lobby group, the American Fuel and Petrochemical ..."
transportation,at SPEEDWAY 08834 ROMULUS MIROMULUS      MI,0,"high-school-girls-cross-country-state-championships-michigan Nov 2, 2019 ... BROOKLYN — Coming around the final curve of the 5-kilometer cross-country 
course at Michigan International Speedway, it became clear that ..."
transportation,at SPEEDWAY 08834 ROMULUS MIROMULUS      MI,1,"Menards grand opening in Bloomfield Township to feature Indy 500 ... Jul 8, 2019 ... Pagenaud drove the No. 22 Menards Chevrolet IndyCar for Team Penske in the 
May 26 race at the Indianapolis Motor Speedway. He will be ..."
transportation,at SPEEDWAY 08834 ROMULUS MIROMULUS      MI,2,"Menards completes purchase of 63-acre Jackson Road property for ... Jun 24, 2013 ... Michigan products? Michigan products? Um, no ... Speedway, there at State and 
Ellsworth, lowered its gas prices after Costco opened nearby."
transportation,at SPEEDWAY 08834 ROMULUS MIROMULUS      MI,3,"NASCAR's Kevin Harvick praises Detroit Tigers, Comerica Park in ... Aug 11, 2019 ... BROOKLYN, MI – The Detroit Tigers haven't pleased droves of fans this ... the 
Consumers Energy 400 at Michigan International Speedway."
transportation,at SPEEDWAY 08834 ROMULUS MIROMULUS      MI,4,"This girl may be the best Michigan cross-country athlete ever Nov 1, 2019 ... That is why Dudek will be the center of attention Saturday at the cross-country 
state championship meet at Michigan International Speedway."
dining,at OAKWOOD GRILL & MUSIC LOUDEARBORN     MI,0,"Billy's Dueling Pianos - Oakwood Grill and Bar, 2948 Vineland Road ... Billy's Dueling Pianos - Oakwood Grill and Bar, 2948 Vineland Road, Kissimmee, 
FL. Connect to internet to see place info. Directions. Show map. Directions."
dining,at OAKWOOD GRILL & MUSIC LOUDEARBORN     MI,1,"Oakwood Smokehouse & Grill, 230 Citrus Tower Boulevard ... Oakwood Smokehouse & Grill, 230 Citrus Tower Boulevard, Clermont, FL. 
Connect to internet to see place info. Directions. Show map. Directions. Google 
Maps."
dining,at OAKWOOD GRILL & MUSIC LOUDEARBORN     MI,2,"Oakwood Smokehouse & Grill 27745 US-27, Leesburg, FL 34748 ... Oakwood Smokehouse & Grill 27745 US-27, Leesburg, FL 34748, USA. Connect 
to internet to see place info. Directions. Show map. Directions. Google Maps."
dining,at OAKWOOD GRILL & MUSIC LOUDEARBORN     MI,3,"Oakwood Bar and Grill Dearborn - Apps on Google Play Visit Us For Lunch or Dinner At Oakwood Bar and Grill we offer daily lunch and 
dinner specials, drop on by and enjoy! We are so excited for our return to ..."
dining,at OAKWOOD GRILL & MUSIC LOUDEARBORN     MI,4,"Oakwood Bar and Grill Dearborn – Apps on Google Play Visit Us For Lunch or Dinner At Oakwood Bar and Grill we offer daily lunch and 
dinner specials, drop on by and enjoy! We are so excited for our return to ..."
dining,at THE HIMALAYAN FLAMES     DEARBORN     MI,0,"the himalayan flames - Modern Indian, Nepali and Tibetan cuisine Updates. Posted on Oct 19, 2019. We have ample free parking and entrance in 
the back. Hope you enjoy your food at the Himalayan Flames!"
dining,at THE HIMALAYAN FLAMES     DEARBORN     MI,1,"Alcohol suspected in crash that killed family of five from Dearborn ... Jan 6, 2019 ... 6, a doctor from Beaumont Dearborn hospital, her husband and three children 
were all killed in a crash while traveling back to Michigan. ... After the crash, 
which killed Bailey as well, the families SUV caught fire. According to ..."
dining,at THE HIMALAYAN FLAMES     DEARBORN     MI,2,"WWII veteran Jack Demmer didn't want to be a hero, but he was to ... Feb 2, 2017 ... MLive interviewed Demmer in 2014 for a series called ""Michigan Honors"" ... Jack 
Demmer, 91, of Dearborn, In Calcutta, India during World War II. ... eventually 
crossed ""the hump,"" what soldiers called the Himalayan Mountain ... An arm rises 
from flames propping a black flag with a snake and a skull on it."
dining,at THE HIMALAYAN FLAMES     DEARBORN     MI,3,"top 10 flower magnolia list and get free shipping - ch7jn1he top 10 flower magnolia list and get free shipping. Stunning Floral Centerpieces 
view all Contact Us Today Floral Arrangements for Any Occasion Awesome List ..."
dining,at THE HIMALAYAN FLAMES     DEARBORN     MI,4,"Merge - Arts/Architecture - Gapers Block Dec 30, 2015 ... One adds 500 units to the South Michigan Avenue corridor. ... With a scaled-
down version of the Great Chicago Fire Festival less than six weeks away, ... 
sculptor Carl Rohl-Smith's depiction of the Fort Dearborn Massacre. ... It's more 
than just the greatest collection of Himalayan art gathered together in one ..."
house,at PLAZA ANTIQUES & COLLECTILINCOLN PARK MI,0,"Plaza Antiques & Collectibles Mall, 2621 Dix Hwy, Lincoln Park, MI ... Plaza Antiques & Collectibles Mall, 2621 Dix Hwy, Lincoln Park, MI. Your location
. Trails. Dedicated lanes. Bicycle-friendly roads. Dirt/unpaved trails. Live traffic."
house,at PLAZA ANTIQUES & COLLECTILINCOLN PARK MI,1,"Antique Plaza 114 W Main St, Mesa, AZ 85201, USA - Google Maps Antique Plaza 114 W Main St, Mesa, AZ 85201, USA. Your location. Trails. 
Dedicated lanes. Bicycle-friendly roads. Dirt/unpaved trails. Live traffic. Fast. Slow
."
house,at PLAZA ANTIQUES & COLLECTILINCOLN PARK MI,2,"Fort Thomas Antiques & Design Center ... - FORT THOMAS MATTERS Jan 17, 2020 ... Owner of the Fort Thomas Plaza Ken Perry, who rents space to the design ... The 
antiques center which also provides event space and a coffee ..."
house,at PLAZA ANTIQUES & COLLECTILINCOLN PARK MI,3,"Glass Society hosts 2019 Glass Show and Sale March 9-10 ... Feb 27, 2019 ... It will be held at the Concord Plaza Midwest Conference Center in ... International 
Auction House, appraiser on Antiques Roadshow since 1997 ..."
house,at PLAZA ANTIQUES & COLLECTILINCOLN PARK MI,4,"Jay Antique Market, 3800 Scotts Plaza Dr, Jay, FL - Google Maps Jay Antique Market, 3800 Scotts Plaza Dr, Jay, FL. Connect to internet to see 
place info. Directions. Show map. Directions. Google Maps. Traffic Transit 
Bicycling"
fun,at SQ *MOTORCITY WINE       DETROIT      MI,0,"Reclaiming Detroit: Decolonizing Archaeology in the Postindustrial ... Jul 5, 2016 ... Detroit is a city of 139 sq miles – within its boundaries, the cities of New York, 
Boston ... Remapping the Motor City and the Politics of Austerity."
fun,at SQ *MOTORCITY WINE       DETROIT      MI,1,"Detroit-Style Pizza – This ""Rock City ... - Food Wishes Video Recipes Sep 28, 2018 ... Even though Detroit-style pizza is often referred to as “deep dish,” I don't ... A 14""
x10"" square pan would equal a skillet about 13.3"" in diameter, ... I'm a Chicago 
transplant living in mid-Michigan. ... Thank You so so much for this Detroit (
Buddies style) pizza best i have ever had as i grew up in the motor city."
fun,at SQ *MOTORCITY WINE       DETROIT      MI,2,"Librat në Google Play Shijo miliona nga aplikacionet më të fundit, lojërat, muzikat, filmat, shfaqjet 
televizive, librat, revistat etj. Në çdo vend dhe në çdo kohë, në të gjitha pajisjet e 
tua."
fun,at SQ *MOTORCITY WINE       DETROIT      MI,3,"Adjusters International Client References » Adjusters International Detroit, MI; Chicago Sewing Machine; Chicken Out Rotisserie; Chico's; Chief 
Theater ... Delft Square; Delganey Depot Development - Denver, CO; Delia 
Risbrough ... MI; Mothership Hotel LLC; Motor City Stamping, Inc. - Chesterfield, 
MI; Motor ... Shoreline Wine - Hannawa Falls, NY; Showa Boston - Boston, MA; 
Showboat ..."
